2022-05-20 04:28:36,779 p=102868 u=root n=ansible | PLAY [Configuring Master] *****************************************************************************************************
2022-05-20 04:28:51,618 p=102868 u=root n=ansible | TASK [k8s_master : Create /.kube directory] ***********************************************************************************
2022-05-20 04:28:51,657 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,665 p=102868 u=root n=ansible | TASK [k8s_master : Copy kubernetes admin.conf file to /.kube/] ****************************************************************
2022-05-20 04:28:51,705 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,713 p=102868 u=root n=ansible | TASK [k8s_master : Change ownership of /.kube/config] *************************************************************************
2022-05-20 04:28:51,751 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,757 p=102868 u=root n=ansible | TASK [k8s_master : Applying AddOns] *******************************************************************************************
2022-05-20 04:28:51,797 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,803 p=102868 u=root n=ansible | TASK [k8s_master : Create a token to join the slave nodes] ********************************************************************
2022-05-20 04:28:51,845 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,852 p=102868 u=root n=ansible | TASK [k8s_master : Print the command to join the slave nodes] *****************************************************************
2022-05-20 04:28:51,890 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,898 p=102868 u=root n=ansible | TASK [k8s_master : Add an apt signing key for Docker] *************************************************************************
2022-05-20 04:28:58,231 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:28:58,236 p=102868 u=root n=ansible | TASK [k8s_master : Add apt repository for stable version of Docker] ***********************************************************
2022-05-20 04:29:13,310 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:29:13,316 p=102868 u=root n=ansible | TASK [k8s_master : Install docker and its dependecies] ************************************************************************
2022-05-20 04:30:09,547 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:30:09,551 p=102868 u=root n=ansible | TASK [k8s_master : Changing Docker Driver to systemd] *************************************************************************
2022-05-20 04:30:21,823 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:30:21,829 p=102868 u=root n=ansible | TASK [k8s_master : Remove swapfile from /etc/fstab] ***************************************************************************
2022-05-20 04:30:27,373 p=102868 u=root n=ansible | ok: [54.91.216.51] => (item=swap)
2022-05-20 04:30:32,790 p=102868 u=root n=ansible | ok: [54.91.216.51] => (item=none)
2022-05-20 04:30:32,796 p=102868 u=root n=ansible | TASK [k8s_master : Disable swap] **********************************************************************************************
2022-05-20 04:30:32,833 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:30:32,837 p=102868 u=root n=ansible | TASK [k8s_master : Add an apt signing key for Kubernetes] *********************************************************************
2022-05-20 04:30:39,377 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:30:39,382 p=102868 u=root n=ansible | TASK [k8s_master : Adding apt repository for Kubernetes] **********************************************************************
2022-05-20 04:30:52,221 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:30:52,225 p=102868 u=root n=ansible | TASK [k8s_master : Install Kubernetes binaries] *******************************************************************************
2022-05-20 04:31:17,453 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:31:17,457 p=102868 u=root n=ansible | TASK [k8s_master : Adding Kubernetes Bridges] *********************************************************************************
2022-05-20 04:31:29,557 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:31:29,564 p=102868 u=root n=ansible | TASK [k8s_master : Starting Systemctl Services] *******************************************************************************
2022-05-20 04:31:35,100 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:31:35,110 p=102868 u=root n=ansible | TASK [k8s_master : Starting Docker Services] **********************************************************************************
2022-05-20 04:31:42,362 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:31:42,366 p=102868 u=root n=ansible | TASK [k8s_master : Permitting Apache to run docker commands] ******************************************************************
2022-05-20 04:31:47,964 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:31:47,969 p=102868 u=root n=ansible | TASK [k8s_master : Enable kubelet] ********************************************************************************************
2022-05-20 04:31:53,605 p=102868 u=root n=ansible | ok: [54.91.216.51]
2022-05-20 04:31:53,613 p=102868 u=root n=ansible | TASK [k8s_master : Enable CRI plugin] *****************************************************************************************
2022-05-20 04:31:59,297 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:31:59,302 p=102868 u=root n=ansible | TASK [k8s_master : Starting Containerd Services] ******************************************************************************
2022-05-20 04:32:05,204 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:32:05,209 p=102868 u=root n=ansible | TASK [k8s_master : Pull the kubernetes service images - kubeadm] **************************************************************
2022-05-20 04:32:30,881 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:32:30,887 p=102868 u=root n=ansible | TASK [k8s_master : Initialize the Kubernetes Master - kubeadm init] ***********************************************************
2022-05-20 04:33:05,816 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:33:05,822 p=102868 u=root n=ansible | TASK [k8s_master : Create /.kube directory] ***********************************************************************************
2022-05-20 04:33:11,633 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:33:11,637 p=102868 u=root n=ansible | TASK [k8s_master : Copy kubernetes admin.conf file to /.kube/] ****************************************************************
2022-05-20 04:33:17,134 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:33:17,139 p=102868 u=root n=ansible | TASK [k8s_master : Change ownership of /.kube/config] *************************************************************************
2022-05-20 04:33:22,737 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:33:22,746 p=102868 u=root n=ansible | TASK [k8s_master : Applying AddOns] *******************************************************************************************
2022-05-20 04:33:30,967 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:33:30,974 p=102868 u=root n=ansible | TASK [k8s_master : Permitting Apache to run Kubernetes commands] **************************************************************
2022-05-20 04:33:36,909 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:33:36,915 p=102868 u=root n=ansible | TASK [k8s_master : Removing index.html from /var/www/html/] *******************************************************************
2022-05-20 04:33:42,579 p=102868 u=root n=ansible | changed: [54.91.216.51]
